CustomerID,CustomerName,CustomerAddress,CustomerPhone,CustomerEmail
43,Customer 43,"254 Main St, City 43, State IL, ZIP 78245",270-636-2346,customer43@example.com
44,Customer 44,"715 Main St, City 44, State TX, ZIP 14872",797-695-2167,customer44@example.com
45,Customer 45,"860 Main St, City 45, State TX, ZIP 52372",949-653-3725,customer45@example.com
46,Customer 46,"883 Main St, City 46, State CA, ZIP 66447",168-887-8531,customer46@example.com
47,Customer 47,"758 Main St, City 47, State IL, ZIP 66265",262-618-9051,customer47@example.com
48,Customer 48,"859 Main St, City 48, State FL, ZIP 23102",644-488-6173,customer48@example.com
49,Customer 49,"377 Main St, City 49, State CA, ZIP 87224",973-598-6972,customer49@example.com
50,Customer 50,"607 Main St, City 50, State NY, ZIP 81004",218-323-3310,customer50@example.com
51,Customer 51,"922 Main St, City 51, State TX, ZIP 28953",728-126-5785,customer51@example.com
52,Customer 52,"755 Main St, City 52, State FL, ZIP 68745",171-969-2398,customer52@example.com
53,Customer 53,"827 Main St, City 53, State CA, ZIP 30061",885-362-2686,customer53@example.com
54,Customer 54,"191 Main St, City 54, State IL, ZIP 60118",430-798-7808,customer54@example.com
55,Customer 55,"749 Main St, City 55, State CA, ZIP 66484",214-529-4516,customer55@example.com
56,Customer 56,"182 Main St, City 56, State CA, ZIP 11275",892-620-9823,customer56@example.com
57,Customer 57,"933 Main St, City 57, State TX, ZIP 80930",175-198-1244,customer57@example.com
58,Customer 58,"684 Main St, City 58, State CA, ZIP 64064",536-559-2704,customer58@example.com
59,Customer 59,"579 Main St, City 59, State TX, ZIP 85376",628-783-9460,customer59@example.com
60,Customer 60,"617 Main St, City 60, State CA, ZIP 68948",448-779-5031,customer60@example.com
61,Customer 61,"725 Main St, City 61, State FL, ZIP 44937",787-703-6983,customer61@example.com
62,Customer 62,"179 Main St, City 62, State FL, ZIP 83438",493-606-6904,customer62@example.com
63,Customer 63,"122 Main St, City 63, State IL, ZIP 13607",955-616-3445,customer63@example.com
64,Customer 64,"340 Main St, City 64, State IL, ZIP 77209",867-602-1335,customer64@example.com
65,Customer 65,"607 Main St, City 65, State IL, ZIP 55747",589-905-7114,customer65@example.com
66,Customer 66,"691 Main St, City 66, State NY, ZIP 36984",287-738-6822,customer66@example.com
67,Customer 67,"583 Main St, City 67, State IL, ZIP 43024",325-594-4035,customer67@example.com
68,Customer 68,"699 Main St, City 68, State TX, ZIP 27942",742-840-6403,customer68@example.com
69,Customer 69,"653 Main St, City 69, State TX, ZIP 45382",113-918-9815,customer69@example.com
70,Customer 70,"667 Main St, City 70, State CA, ZIP 12683",811-275-4641,customer70@example.com
71,Customer 71,"495 Main St, City 71, State FL, ZIP 10449",765-109-3607,customer71@example.com
72,Customer 72,"857 Main St, City 72, State FL, ZIP 95194",178-433-9023,customer72@example.com
73,Customer 73,"709 Main St, City 73, State CA, ZIP 14998",117-795-6315,customer73@example.com
74,Customer 74,"315 Main St, City 74, State IL, ZIP 62648",562-489-6736,customer74@example.com
75,Customer 75,"447 Main St, City 75, State CA, ZIP 66615",850-838-5807,customer75@example.com
76,Customer 76,"664 Main St, City 76, State IL, ZIP 60884",806-533-2425,customer76@example.com
77,Customer 77,"304 Main St, City 77, State CA, ZIP 97506",853-213-7570,customer77@example.com
78,Customer 78,"902 Main St, City 78, State FL, ZIP 56809",544-412-7937,customer78@example.com
79,Customer 79,"518 Main St, City 79, State FL, ZIP 57809",342-216-6035,customer79@example.com
80,Customer 80,"739 Main St, City 80, State NY, ZIP 91485",416-536-3931,customer80@example.com
81,Customer 81,"659 Main St, City 81, State TX, ZIP 30504",176-239-9586,customer81@example.com
82,Customer 82,"809 Main St, City 82, State NY, ZIP 63990",858-346-5316,customer82@example.com
83,Customer 83,"606 Main St, City 83, State FL, ZIP 80736",704-779-5503,customer83@example.com
84,Customer 84,"171 Main St, City 84, State TX, ZIP 16693",295-618-8551,customer84@example.com
85,Customer 85,"330 Main St, City 85, State TX, ZIP 19028",407-934-9076,customer85@example.com
86,Customer 86,"482 Main St, City 86, State TX, ZIP 49969",313-401-2495,customer86@example.com
87,Customer 87,"609 Main St, City 87, State TX, ZIP 51581",321-964-1382,customer87@example.com
88,Customer 88,"314 Main St, City 88, State NY, ZIP 89259",568-139-8415,customer88@example.com
89,Customer 89,"841 Main St, City 89, State CA, ZIP 66103",209-554-4063,customer89@example.com
90,Customer 90,"124 Main St, City 90, State IL, ZIP 32233",109-781-7184,customer90@example.com
91,Customer 91,"971 Main St, City 91, State FL, ZIP 61552",901-120-5624,customer91@example.com
92,Customer 92,"989 Main St, City 92, State NY, ZIP 63220",946-402-6065,customer92@example.com
93,Customer 93,"581 Main St, City 93, State FL, ZIP 85105",606-902-5686,customer93@example.com
94,Customer 94,"943 Main St, City 94, State CA, ZIP 30127",877-240-2772,customer94@example.com
95,Customer 95,"990 Main St, City 95, State FL, ZIP 39367",670-212-7571,customer95@example.com
96,Customer 96,"114 Main St, City 96, State TX, ZIP 84743",756-899-8682,customer96@example.com
97,Customer 97,"365 Main St, City 97, State IL, ZIP 32725",519-950-6266,customer97@example.com
98,Customer 98,"711 Main St, City 98, State TX, ZIP 67442",537-911-8385,customer98@example.com
99,Customer 99,"718 Main St, City 99, State TX, ZIP 95370",576-691-2701,customer99@example.com
100,Customer 100,"629 Main St, City 100, State CA, ZIP 21888",580-575-4668,customer100@example.com
101,Customer 101,"757 Main St, City 101, State CA, ZIP 99644",230-856-5840,customer101@example.com
102,Customer 102,"371 Main St, City 102, State NY, ZIP 46374",750-497-8127,customer102@example.com
103,Customer 103,"331 Main St, City 103, State CA, ZIP 64220",196-809-2708,customer103@example.com
104,Customer 104,"294 Main St, City 104, State FL, ZIP 44901",339-795-8105,customer104@example.com
105,Customer 105,"635 Main St, City 105, State TX, ZIP 32326",263-853-8785,customer105@example.com
106,Customer 106,"151 Main St, City 106, State NY, ZIP 46707",817-963-4045,customer106@example.com
107,Customer 107,"130 Main St, City 107, State CA, ZIP 64025",799-810-7411,customer107@example.com
108,Customer 108,"750 Main St, City 108, State CA, ZIP 63439",867-574-6811,customer108@example.com
109,Customer 109,"259 Main St, City 109, State IL, ZIP 76281",157-445-3806,customer109@example.com
110,Customer 110,"105 Main St, City 110, State FL, ZIP 60840",939-828-2271,customer110@example.com
111,Customer 111,"220 Main St, City 111, State NY, ZIP 59615",891-422-6410,customer111@example.com
112,Customer 112,"250 Main St, City 112, State FL, ZIP 44605",753-578-4204,customer112@example.com
113,Customer 113,"274 Main St, City 113, State FL, ZIP 78641",268-621-3484,customer113@example.com
114,Customer 114,"641 Main St, City 114, State FL, ZIP 50815",185-242-4014,customer114@example.com
115,Customer 115,"499 Main St, City 115, State IL, ZIP 62936",652-613-9044,customer115@example.com
116,Customer 116,"268 Main St, City 116, State TX, ZIP 39215",855-370-5934,customer116@example.com
117,Customer 117,"181 Main St, City 117, State CA, ZIP 43141",191-448-8331,customer117@example.com
118,Customer 118,"718 Main St, City 118, State FL, ZIP 90501",832-238-2214,customer118@example.com
119,Customer 119,"466 Main St, City 119, State FL, ZIP 76905",185-793-4535,customer119@example.com
120,Customer 120,"737 Main St, City 120, State FL, ZIP 86460",127-518-7068,customer120@example.com
121,Customer 121,"913 Main St, City 121, State FL, ZIP 29628",500-830-1785,customer121@example.com
122,Customer 122,"147 Main St, City 122, State NY, ZIP 50630",534-860-8525,customer122@example.com
123,Customer 123,"498 Main St, City 123, State NY, ZIP 44553",875-506-3762,customer123@example.com
124,Customer 124,"145 Main St, City 124, State TX, ZIP 19417",117-615-6264,customer124@example.com
125,Customer 125,"238 Main St, City 125, State IL, ZIP 38248",369-554-6397,customer125@example.com
126,Customer 126,"196 Main St, City 126, State FL, ZIP 38618",987-451-9180,customer126@example.com
127,Customer 127,"647 Main St, City 127, State CA, ZIP 36041",143-368-3736,customer127@example.com
128,Customer 128,"999 Main St, City 128, State FL, ZIP 50713",401-263-8118,customer128@example.com
129,Customer 129,"134 Main St, City 129, State FL, ZIP 71040",430-430-1278,customer129@example.com
130,Customer 130,"968 Main St, City 130, State FL, ZIP 86599",267-236-8240,customer130@example.com
131,Customer 131,"807 Main St, City 131, State FL, ZIP 84908",167-549-7658,customer131@example.com
132,Customer 132,"591 Main St, City 132, State NY, ZIP 36069",839-145-7176,customer132@example.com
133,Customer 133,"196 Main St, City 133, State CA, ZIP 24536",454-989-5858,customer133@example.com
134,Customer 134,"320 Main St, City 134, State CA, ZIP 80551",122-395-7329,customer134@example.com
135,Customer 135,"623 Main St, City 135, State IL, ZIP 44341",159-155-2477,customer135@example.com
136,Customer 136,"197 Main St, City 136, State FL, ZIP 80779",549-564-1168,customer136@example.com
137,Customer 137,"634 Main St, City 137, State CA, ZIP 48636",418-481-5468,customer137@example.com
138,Customer 138,"816 Main St, City 138, State CA, ZIP 61004",763-995-7350,customer138@example.com
139,Customer 139,"448 Main St, City 139, State CA, ZIP 98559",343-739-6950,customer139@example.com
140,Customer 140,"412 Main St, City 140, State CA, ZIP 29780",471-292-4307,customer140@example.com
141,Customer 141,"131 Main St, City 141, State IL, ZIP 71185",713-357-6809,customer141@example.com
142,Customer 142,"389 Main St, City 142, State TX, ZIP 50080",784-764-5620,customer142@example.com
143,Customer 143,"761 Main St, City 143, State TX, ZIP 46329",651-313-8814,customer143@example.com
144,Customer 144,"660 Main St, City 144, State CA, ZIP 28083",803-109-7343,customer144@example.com
145,Customer 145,"445 Main St, City 145, State TX, ZIP 48694",388-911-3822,customer145@example.com
146,Customer 146,"513 Main St, City 146, State NY, ZIP 35814",809-433-2132,customer146@example.com
147,Customer 147,"106 Main St, City 147, State IL, ZIP 32803",512-240-4513,customer147@example.com
148,Customer 148,"839 Main St, City 148, State CA, ZIP 70138",667-834-8953,customer148@example.com
149,Customer 149,"743 Main St, City 149, State IL, ZIP 78521",930-970-3179,customer149@example.com
150,Customer 150,"431 Main St, City 150, State FL, ZIP 57331",877-217-7936,customer150@example.com
151,Customer 151,"622 Main St, City 151, State TX, ZIP 94773",665-399-2874,customer151@example.com
152,Customer 152,"242 Main St, City 152, State NY, ZIP 98826",452-707-3839,customer152@example.com
153,Customer 153,"477 Main St, City 153, State CA, ZIP 37444",749-563-5735,customer153@example.com
154,Customer 154,"203 Main St, City 154, State IL, ZIP 17956",858-378-9746,customer154@example.com
155,Customer 155,"490 Main St, City 155, State FL, ZIP 28111",259-576-8063,customer155@example.com
156,Customer 156,"783 Main St, City 156, State IL, ZIP 36865",541-736-1165,customer156@example.com
157,Customer 157,"726 Main St, City 157, State FL, ZIP 24595",405-142-9710,customer157@example.com
158,Customer 158,"358 Main St, City 158, State IL, ZIP 67662",755-534-2682,customer158@example.com
159,Customer 159,"624 Main St, City 159, State FL, ZIP 48405",531-457-8169,customer159@example.com
160,Customer 160,"417 Main St, City 160, State NY, ZIP 98488",956-513-6157,customer160@example.com
161,Customer 161,"168 Main St, City 161, State CA, ZIP 55882",779-873-4465,customer161@example.com
162,Customer 162,"620 Main St, City 162, State NY, ZIP 35687",779-607-4123,customer162@example.com
163,Customer 163,"674 Main St, City 163, State NY, ZIP 38460",177-826-7587,customer163@example.com
164,Customer 164,"695 Main St, City 164, State FL, ZIP 99827",758-108-3970,customer164@example.com
165,Customer 165,"436 Main St, City 165, State IL, ZIP 90168",831-166-4717,customer165@example.com
166,Customer 166,"417 Main St, City 166, State NY, ZIP 50795",603-226-2054,customer166@example.com
167,Customer 167,"850 Main St, City 167, State NY, ZIP 34560",842-812-1383,customer167@example.com
168,Customer 168,"646 Main St, City 168, State NY, ZIP 61517",923-165-7237,customer168@example.com
169,Customer 169,"627 Main St, City 169, State IL, ZIP 23807",940-526-6520,customer169@example.com
170,Customer 170,"413 Main St, City 170, State IL, ZIP 77706",717-515-8862,customer170@example.com
171,Customer 171,"899 Main St, City 171, State NY, ZIP 67301",762-153-2511,customer171@example.com
172,Customer 172,"425 Main St, City 172, State FL, ZIP 92694",224-724-7446,customer172@example.com
173,Customer 173,"782 Main St, City 173, State NY, ZIP 24918",434-545-6104,customer173@example.com
174,Customer 174,"405 Main St, City 174, State IL, ZIP 15326",659-220-6176,customer174@example.com
175,Customer 175,"569 Main St, City 175, State FL, ZIP 89827",336-358-6569,customer175@example.com
176,Customer 176,"224 Main St, City 176, State IL, ZIP 86817",717-607-3943,customer176@example.com
177,Customer 177,"329 Main St, City 177, State CA, ZIP 63442",946-480-7002,customer177@example.com
178,Customer 178,"768 Main St, City 178, State CA, ZIP 72304",402-372-9770,customer178@example.com
179,Customer 179,"440 Main St, City 179, State IL, ZIP 43049",975-315-5203,customer179@example.com
180,Customer 180,"773 Main St, City 180, State IL, ZIP 82365",154-389-2547,customer180@example.com
181,Customer 181,"810 Main St, City 181, State TX, ZIP 85077",667-790-5193,customer181@example.com
182,Customer 182,"391 Main St, City 182, State NY, ZIP 87068",350-439-4777,customer182@example.com
183,Customer 183,"298 Main St, City 183, State TX, ZIP 24443",776-365-1641,customer183@example.com
184,Customer 184,"311 Main St, City 184, State TX, ZIP 94472",544-367-7592,customer184@example.com
185,Customer 185,"122 Main St, City 185, State FL, ZIP 53687",851-338-5559,customer185@example.com
186,Customer 186,"367 Main St, City 186, State NY, ZIP 85012",470-214-2063,customer186@example.com
187,Customer 187,"852 Main St, City 187, State FL, ZIP 61356",380-306-3801,customer187@example.com
188,Customer 188,"560 Main St, City 188, State FL, ZIP 20955",768-224-3618,customer188@example.com
189,Customer 189,"743 Main St, City 189, State IL, ZIP 87251",222-414-4660,customer189@example.com
190,Customer 190,"362 Main St, City 190, State NY, ZIP 78799",205-679-1820,customer190@example.com
191,Customer 191,"762 Main St, City 191, State CA, ZIP 81049",503-650-2692,customer191@example.com
192,Customer 192,"359 Main St, City 192, State TX, ZIP 60091",455-662-9275,customer192@example.com
193,Customer 193,"543 Main St, City 193, State CA, ZIP 27459",433-252-2999,customer193@example.com
194,Customer 194,"875 Main St, City 194, State FL, ZIP 87516",723-681-5789,customer194@example.com
195,Customer 195,"117 Main St, City 195, State CA, ZIP 95486",545-800-8610,customer195@example.com
196,Customer 196,"809 Main St, City 196, State FL, ZIP 77731",416-413-6428,customer196@example.com
197,Customer 197,"550 Main St, City 197, State FL, ZIP 30523",384-503-2552,customer197@example.com
198,Customer 198,"672 Main St, City 198, State CA, ZIP 57605",255-445-4076,customer198@example.com
199,Customer 199,"154 Main St, City 199, State CA, ZIP 10046",961-846-2011,customer199@example.com
200,Customer 200,"846 Main St, City 200, State FL, ZIP 96154",227-400-5497,customer200@example.com
